estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
gsynth with Control,0.032155098635123065,0.28133278460201555,-0.5316085933611181,0.5594490852449105,0.22285274733363325,2,50,5,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.006806919671977145,0.44129579216356224,-0.8922360475999739,0.8326937006580385,0.34783878593980727,2,50,5,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.0016272891618364376,0.31871814743947174,-0.638825204390626,0.6156310011635848,0.2534836500200858,2,50,5,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-0.004396285837221675,0.5590540085665687,-1.144139729996149,0.9844271112521893,0.40827635858469985,2,50,5,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.02231034875805086,0.4071628710963258,-0.7779596756873279,0.8305866408898488,0.3207192383305231,2,50,5,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.019763600453611117,0.29695161237690054,-0.5430102837958344,0.621089796034365,0.2377864129246032,2,50,5,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.30570339317386913,0.5573855665091852,-1.174398338863304,0.6468573529629691,0.45202073488600575,2,50,5,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.1469104140698044,0.3678349452586774,-0.7913068839904558,0.5530110655663031,0.295254371330001,2,50,5,Linear Trend,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-5.472322613701185e-4,0.5790075665599606,-1.1622044860558929,1.0915632496876124,0.42468677637468044,2,50,5,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,-0.004275188520068605,0.39908795618939014,-0.7910414601368564,0.789163180873757,0.3171072488115866,2,50,5,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.003959504635838017,0.28581306748910734,-0.555101852120293,0.5641005439562312,0.22671298104261928,2,50,5,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.06301109891899975,0.467374016483968,-0.8411822853015891,0.9550751192011262,0.37418912468678067,2,50,5,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.026951237571695243,0.33754095100209947,-0.6149584723039446,0.6854874277774676,0.2709711587270634,2,50,5,Autocorrelated,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
